,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
b1[0],0.307,1.035,-1.547,2.147,0.178,0.127,34.0,106.0,1.04
b1[1],-0.312,1.022,-2.586,1.354,0.145,0.103,49.0,104.0,1.03
b1[2],0.074,1.039,-2.112,1.858,0.132,0.094,68.0,96.0,1.01
b1[3],0.049,1.116,-1.77,2.099,0.079,0.07,198.0,180.0,1.01
b1[4],-0.126,0.995,-2.343,1.46,0.075,0.07,184.0,123.0,1.01
b2[0],-0.009,0.971,-1.652,1.713,0.069,0.072,212.0,146.0,1.05
b2[1],0.025,0.867,-1.541,1.496,0.06,0.053,222.0,147.0,1.0
b2[2],0.066,1.019,-1.98,1.77,0.062,0.059,273.0,184.0,1.0
b2[3],-0.013,1.006,-1.586,1.986,0.083,0.073,150.0,127.0,1.01
b2[4],0.12,1.056,-1.897,1.965,0.075,0.069,199.0,115.0,1.01
b3[0],-0.04,0.873,-1.552,1.553,0.077,0.057,151.0,184.0,1.02
b3[1],-0.26,0.939,-1.776,1.733,0.071,0.054,175.0,168.0,1.01
b3[2],0.139,0.911,-1.48,1.756,0.074,0.055,155.0,150.0,1.0
"w1[0, 0]",0.107,0.725,-1.529,1.277,0.145,0.104,20.0,153.0,1.08
"w1[0, 1]",-0.297,0.757,-1.406,1.476,0.094,0.067,56.0,84.0,1.03
"w1[0, 2]",0.052,0.796,-1.259,1.391,0.096,0.068,70.0,131.0,1.02
"w1[0, 3]",0.088,0.872,-1.689,1.619,0.103,0.073,72.0,79.0,1.0
"w1[0, 4]",-0.1,0.827,-1.719,1.252,0.189,0.136,21.0,72.0,1.11
"w1[1, 0]",0.208,0.978,-1.865,1.46,0.241,0.174,20.0,165.0,1.07
"w1[1, 1]",-0.38,0.917,-2.014,1.279,0.143,0.102,49.0,144.0,1.05
"w1[1, 2]",0.222,1.035,-1.614,2.001,0.222,0.159,23.0,130.0,1.07
"w1[1, 3]",-0.076,1.01,-1.865,1.753,0.163,0.116,39.0,124.0,1.05
